timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist,device_timestamp
2025-11-27 15:46:44.577,1,2.12369,3.446904,1,4.28397,3.267483,3.808708,8.866716,9.161969,4.61548,6720
2025-11-27 15:46:44.577,1,2.108898,3.447365,0.230709,4.288026,3.267038,3.811001,8.891726,9.176697,4.625068,6744
2025-11-27 15:46:44.626,1,2.094825,3.446476,0.028311,4.296364,3.255302,3.83039,8.923641,9.176784,4.637716,6769
2025-11-27 15:46:44.626,1,2.085329,3.443862,1,4.299755,3.252368,3.857925,8.951619,9.172709,4.640325,6794
2025-11-27 15:46:44.740,1,2.070705,3.435947,0.220376,4.30654,3.253188,3.873171,8.988955,9.162286,4.639252,6819
2025-11-27 15:46:44.741,1,2.068995,3.430092,0.018924,4.310792,3.261075,3.885052,8.994234,9.150022,4.642558,6844
2025-11-27 15:46:44.741,1,2.078611,3.428976,1,4.319283,3.257903,3.90363,8.928973,9.125967,4.639956,6869
2025-11-27 15:46:44.742,1,2.09851,3.433376,0.213508,4.326935,3.258537,3.909825,8.880186,9.107222,4.647248,6895
2025-11-27 15:46:44.794,1,2.110184,3.438063,0.002508,4.333934,3.25696,3.923971,8.840096,9.094685,4.649825,6919
2025-11-27 15:46:44.794,1,2.117508,3.440791,1,4.337318,3.25159,3.920499,8.819207,9.065241,4.646655,6944
2025-11-27 15:46:44.944,1,2.137035,3.448464,0.210833,4.344097,3.251546,3.903297,8.799823,9.057827,4.647291,6969
2025-11-27 15:46:44.944,1,2.14409,3.451224,0.001788,4.35145,3.249441,3.914743,8.783681,9.070687,4.647787,6994
2025-11-27 15:46:44.944,1,2.146085,3.453055,1,4.360287,3.244694,3.932981,8.764889,9.056893,4.645067,7020
2025-11-27 15:46:44.944,1,2.153483,3.448579,0.196494,4.363031,3.234783,3.952371,8.756456,9.042003,4.643983,7044
2025-11-27 15:46:44.944,1,2.158263,3.452341,1,4.373454,3.227058,3.946774,8.746778,9.03454,4.636925,7069
2025-11-27 15:46:44.944,1,2.159119,3.450065,0.171938,4.3764,3.228287,3.972439,8.74752,9.038043,4.639709,7094
2025-11-27 15:46:44.944,1,2.158016,3.457513,1,4.381801,3.23028,3.961377,8.744992,9.042844,4.644985,7119
2025-11-27 15:46:44.994,1,2.165504,3.462092,0.175515,4.377727,3.232868,3.942401,8.73888,9.035195,4.637706,7144
2025-11-27 15:46:44.997,1,2.171094,3.464306,1,4.388013,3.223496,3.940039,8.74033,9.020951,4.63514,7169
2025-11-27 15:46:45.153,1,2.167996,3.468673,0.174622,4.385674,3.226546,3.947518,8.741459,9.017098,4.647636,7194
2025-11-27 15:46:45.153,1,2.168917,3.468064,1,4.391099,3.2341,3.951274,8.738197,9.021344,4.643914,7219
2025-11-27 15:46:45.153,1,2.17443,3.470452,0.171248,4.41086,3.235846,3.967663,8.742904,9.007051,4.649297,7244
2025-11-27 15:46:45.153,1,2.177229,3.472892,1,4.410727,3.230993,3.966974,8.740359,9.009372,4.648315,7269
2025-11-27 15:46:45.153,1,2.173285,3.474622,0.162492,4.431333,3.230318,3.985075,8.740447,9.0205,4.646514,7294
2025-11-27 15:46:45.153,1,2.172511,3.471646,1,4.432894,3.22565,4.009536,8.74155,9.01157,4.649252,7319
2025-11-27 15:46:45.202,1,2.179531,3.475237,0.161518,4.447572,3.22926,3.995464,8.74034,9.00461,4.649315,7344
2025-11-27 15:46:45.202,1,2.183029,3.473609,1,4.446585,3.227932,4.005207,8.733184,9.008506,4.641081,7369
2025-11-27 15:46:45.258,1,2.178601,3.474012,0.159552,4.437532,3.231039,3.998303,8.732784,9.005329,4.643983,7394
2025-11-27 15:46:45.258,1,2.179971,3.470728,1,4.440832,3.230354,4.012596,8.733508,8.984215,4.641067,7419
2025-11-27 15:46:45.356,1,2.184149,3.460101,0.160167,4.434084,3.227749,4.022699,8.736143,8.982257,4.637759,7448
2025-11-27 15:46:45.356,1,2.181493,3.456827,1,4.428826,3.224683,4.025396,8.737162,8.974519,4.627934,7473
2025-11-27 15:46:45.356,1,2.180021,3.454221,0.155118,4.430941,3.230578,4.038887,8.735884,8.977807,4.63063,7498
2025-11-27 15:46:45.356,1,2.179124,3.454995,1,4.421199,3.227923,4.021444,8.732818,8.976228,4.628591,7523
2025-11-27 15:46:45.402,1,2.183526,3.460804,0.159716,4.428104,3.227926,4.001637,8.728357,8.983281,4.631143,7548
2025-11-27 15:46:45.402,1,2.184701,3.466853,1,4.433485,3.227927,4.002769,8.731093,8.982565,4.633132,7573
2025-11-27 15:46:45.558,1,2.185767,3.465085,0.157732,4.442855,3.228964,4.01297,8.738403,8.977865,4.629504,7598
2025-11-27 15:46:45.558,1,2.185892,3.458614,1,4.442909,3.233914,4.031275,8.737887,8.975238,4.615287,7623
2025-11-27 15:46:45.558,1,2.185026,3.461711,0.154483,4.445023,3.231559,4.023795,8.738521,8.972155,4.628024,7648
2025-11-27 15:46:45.558,1,2.183616,3.458224,1,4.430102,3.241113,4.017966,8.743155,8.983213,4.634843,7673
2025-11-27 15:46:45.558,1,2.188338,3.457502,0.159982,4.447467,3.234063,4.022743,8.745732,8.973193,4.633944,7698
2025-11-27 15:46:45.558,1,2.18096,3.460086,1,4.441326,3.225462,4.031642,8.746705,8.965384,4.635314,7723
2025-11-27 15:46:45.610,1,2.183588,3.462421,0.158545,4.440682,3.233256,4.023046,8.740215,8.969653,4.64156,7748
2025-11-27 15:46:45.610,1,2.181261,3.457796,1,4.436039,3.235188,4.03602,8.7393,8.960555,4.634002,7773
2025-11-27 15:46:45.661,1,2.18484,3.463116,0.158957,4.448987,3.242906,4.011961,8.742727,8.974174,4.630182,7798
2025-11-27 15:46:45.661,1,2.187949,3.464357,1,4.44044,3.24685,3.998389,8.746434,8.978574,4.632383,7823
