timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist
2025-07-02 14:04:04.172,1,-0.286833,9.634054,0,1.645616,2.774736,11.31062,11.3735
2025-07-02 14:04:04.172,1,-0.387783,9.540258,10.96272,1.669694,2.974158,11.25705,11.22011
2025-07-02 14:04:04.368,1,-0.566348,9.316689,10.65858,1.777221,3.196487,11.15398,10.97689
2025-07-02 14:04:04.470,1,-0.68199,9.116897,10.41182,1.872244,3.332611,11.05421,10.80848
2025-07-02 14:04:04.571,1,-0.748583,9.015542,10.28842,1.91154,3.453437,10.99924,10.70627
2025-07-02 14:04:04.671,1,-0.878714,8.811135,10.10397,2.013246,3.642614,10.94914,10.51181
2025-07-02 14:04:04.874,1,-0.99613,8.633789,9.917124,2.090317,3.79146,10.93463,10.37067
2025-07-02 14:04:05.085,1,-1.117853,8.483689,9.749749,2.252436,3.995155,10.87769,10.26402
2025-07-02 14:04:05.290,1,-1.240733,8.327448,9.589829,2.365097,4.172656,10.84458,10.11174
2025-07-02 14:04:05.494,1,-1.348542,8.177016,9.397633,2.529287,4.324658,10.81816,9.991599
2025-07-02 14:04:05.543,1,-1.347839,8.011633,9.158825,2.875623,4.47652,10.7716,9.8552
2025-07-02 14:04:05.702,1,-1.349114,7.928881,9.063453,2.975121,4.54991,10.73447,9.785274
2025-07-02 14:04:05.760,1,-1.335006,7.755923,8.974497,3.207277,4.68895,10.64927,9.626615
2025-07-02 14:04:05.903,1,-1.375127,7.582022,8.809044,3.265976,4.789515,10.58405,9.433997
2025-07-02 14:04:06.586,1,-1.366021,7.347007,8.614465,3.521232,4.911067,10.5274,0
2025-07-02 14:04:06.729,1,-1.432157,7.136012,8.383474,3.66877,5.175374,10.41992,9.154987
2025-07-02 14:04:06.939,1,-1.598174,6.715418,8.02633,3.883667,5.462016,10.2459,8.815942
2025-07-02 14:04:07.030,1,-1.726215,6.377026,7.730815,4.099,5.664563,10.11696,8.561083
2025-07-02 14:04:07.185,1,-1.774509,6.116259,7.461753,4.384591,5.867038,10.02322,8.341483
2025-07-02 14:04:07.337,1,-1.783103,5.887312,7.242955,4.638093,6.054138,9.910904,8.153303
2025-07-02 14:04:07.436,1,-1.794583,5.77817,7.133446,4.727597,6.134514,9.864925,8.059294
2025-07-02 14:04:07.543,1,-1.920402,5.545817,6.969309,4.76627,6.313299,9.821315,7.880823
2025-07-02 14:04:07.747,1,-2.082843,5.293171,6.781878,4.991176,6.57361,9.772157,7.727531
2025-07-02 14:04:07.952,1,-2.205646,5.029844,6.601601,5.263916,6.824898,9.700278,7.55302
2025-07-02 14:04:08.055,1,-2.212554,4.841474,6.419456,5.519631,6.966712,9.64717,7.379783
2025-07-02 14:04:08.152,1,-2.219156,4.771385,6.322911,5.502597,6.974083,9.614872,7.286672
2025-07-02 14:04:08.262,1,-2.22746,4.640627,6.157841,5.638143,7.081772,9.549605,7.120151
2025-07-02 14:04:08.464,1,-2.185021,4.503023,5.990458,5.912327,7.244984,9.48716,6.962835
2025-07-02 14:04:08.668,1,-2.08024,4.376462,5.797856,6.229584,7.440337,9.433111,6.802703
