Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,466369,5,10.1248,10.3082,-86.60,1
1,466401,1,11.2931,11.2003,-87.61,1
1,466407,2,4.9498,4.9320,-86.19,1
1,466413,3,2.4866,2.6262,-76.56,1
1,466419,4,8.8627,8.7557,-82.19,1
1,466425,5,10.1905,10.2822,-86.52,1
1,466513,1,11.3306,11.2291,-86.20,1
1,466520,2,4.7199,4.8852,-87.77,1
1,466526,3,2.3318,2.5613,-82.43,1
1,466532,4,8.7689,8.7586,-82.56,1
1,466538,5,10.1952,10.2630,-87.85,1
1,466579,1,11.3212,11.2494,-84.84,1
1,466585,2,4.7574,4.8570,-86.04,1
1,466592,3,2.5054,2.5489,-71.47,1
1,466598,4,8.7689,8.7609,-83.83,1
1,466604,5,10.2374,10.2574,-88.12,1
1,466644,1,11.3259,11.2663,-84.08,1
1,466650,2,4.6448,4.8102,-87.15,1
1,466656,3,2.5617,2.5517,-67.29,1
1,466662,4,8.7220,8.7523,-84.84,1
1,466668,5,10.3266,10.2726,-87.15,1
1,466745,1,11.2931,11.2722,-84.05,1
1,466751,2,4.6402,4.7726,-85.29,1
1,466758,3,2.5054,2.5415,-66.59,1
1,466764,4,8.6938,8.7394,-86.06,1
1,466770,5,10.3735,10.2949,-88.09,1
1,466811,1,11.2602,11.2696,-84.14,1
1,466817,2,4.6308,4.7413,-84.46,1
1,466823,3,2.5289,2.5387,-69.52,1
1,466829,4,8.6985,8.7304,-86.93,1
1,466835,5,10.3219,10.3008,-87.85,1
1,466875,1,11.2415,11.2634,-83.08,1
1,466882,2,4.6683,4.7252,-84.02,1
1,466888,3,2.5101,2.5324,-67.00,1
1,466894,4,8.7267,8.7296,-86.85,1
1,466900,5,9.9841,10.2309,-86.68,1
1,466941,1,11.2227,11.2544,-83.43,1
1,466947,2,4.6636,4.7116,-84.44,1
1,466953,3,2.4632,2.5171,-71.71,1
1,466960,4,8.7220,8.7279,-86.93,1
1,466966,5,9.9841,10.1765,-86.52,1
1,467053,1,11.1945,11.2412,-84.24,1
1,467060,2,4.6918,4.7072,-82.97,1
1,467066,3,2.3928,2.4897,-72.92,1
1,467072,4,8.7314,8.7287,-87.09,1
1,467078,5,10.0263,10.1433,-86.78,1
1,467119,1,11.1758,11.2267,-84.76,1
1,467125,2,4.7011,4.7059,-83.05,1
1,467131,3,2.3975,2.4693,-72.13,1
1,467137,4,8.6751,8.7168,-86.60,1
1,467144,5,10.0263,10.1175,-87.52,1
1,467184,1,11.1382,11.2072,-85.09,1
1,467190,2,4.7246,4.7100,-82.76,1
1,467196,3,2.4726,2.4701,-70.67,1
1,467202,4,8.7079,8.7149,-85.81,1
1,467209,5,10.0685,10.1067,-86.19,1
1,467286,1,11.1336,11.1910,-85.01,1
1,467292,2,4.6918,4.7060,-83.26,1
1,467298,3,2.5054,2.4779,-66.26,1
1,467304,4,8.6938,8.7102,-83.95,1
1,467311,5,10.0732,10.0993,-86.44,1
1,467351,1,11.1664,11.1855,-84.93,1
1,467358,2,4.7105,4.7070,-84.30,1
1,467364,3,2.5382,2.4912,-69.69,1
1,467370,4,8.7032,8.7087,-83.59,1
1,467376,5,10.1811,10.1174,-86.85,1
1,467417,1,11.0960,11.1658,-85.60,1
1,467423,2,4.6965,4.7047,-82.72,1
1,467430,3,2.5148,2.4964,-70.49,1
1,467436,4,8.6891,8.7044,-83.95,1
1,467442,5,10.0920,10.1118,-85.97,1
1,467483,1,11.1007,11.1514,-86.14,1
1,467489,2,4.7152,4.7070,-82.33,1
1,467495,3,2.5007,2.4973,-71.00,1
1,467501,4,8.6751,8.6979,-83.14,1
1,467507,5,9.8996,10.0649,-85.52,1
1,467594,1,11.0679,11.1330,-86.85,1
1,467601,2,4.7152,4.7088,-82.35,1
1,467607,3,2.3834,2.4722,-73.77,1
1,467613,4,8.6657,8.6908,-83.63,1
1,467619,5,10.1717,10.0885,-86.04,1
1,467660,1,11.0960,11.1248,-85.60,1
1,467666,2,4.6918,4.7051,-83.38,1
1,467672,3,2.4256,2.4619,-69.47,1
1,467679,4,8.6657,8.6853,-83.39,1
1,467685,5,10.3500,10.1462,-85.19,1
1,467773,1,11.1570,11.1319,-84.02,1
1,467780,2,4.6683,4.6969,-83.11,1
1,467786,3,2.4866,2.4674,-67.74,1
1,467793,4,8.7032,8.6892,-83.59,1
1,467799,5,10.3078,10.1819,-84.44,1
1,467839,1,11.1429,11.1344,-83.84,1
1,467846,2,4.7011,4.6979,-82.64,1
1,467852,3,2.4632,2.4665,-67.33,1
1,467859,4,8.7314,8.6985,-83.43,1
1,467865,5,10.0873,10.1610,-85.35,1
1,467905,1,11.1476,11.1373,-84.46,1
1,467911,2,4.7668,4.7131,-81.91,1
1,467919,3,2.4866,2.4709,-67.74,1
1,467925,4,8.7314,8.7058,-84.40,1
1,467931,5,10.2140,10.1727,-85.40,1
1,468007,1,11.1570,11.1416,-84.37,1
1,468013,2,4.7528,4.7218,-81.91,1
1,468019,3,2.4819,2.4733,-67.53,1
1,468026,4,8.7126,8.7073,-84.84,1
1,468033,5,10.2937,10.1994,-85.95,1
1,468074,1,11.1429,11.1419,-84.38,1
1,468081,2,4.7387,4.7256,-81.83,1
1,468087,3,2.5148,2.4825,-67.00,1
1,468093,4,8.7079,8.7074,-84.35,1
1,468099,5,10.2234,10.2047,-85.11,1
1,468139,1,11.1664,11.1473,-85.11,1
1,468145,2,4.6871,4.7171,-82.43,1
