timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 12:52:31.252,1,5.895965,1.284246,6.39905,7.317193,5.584954,6.39961,0,0
2025-11-25 12:52:31.308,1,5.90244,1.280865,6.403285,7.329564,5.574718,6.393267,0,0
2025-11-25 12:52:31.362,1,5.908371,1.287476,6.391777,7.325282,5.544848,6.385494,0,0
2025-11-25 12:52:31.422,1,5.918766,1.230522,6.367966,7.320203,5.586205,6.356712,0,0
2025-11-25 12:52:31.481,1,5.922886,1.226289,6.358741,7.319054,5.570556,6.351916,0,0
2025-11-25 12:52:31.533,1,5.923982,1.193539,6.333735,7.313731,5.589926,6.343654,0,0
2025-11-25 12:52:31.576,1,5.928437,1.125254,6.315306,7.313568,5.629127,6.332807,0,0
2025-11-25 12:52:32.916,1,5.928437,1.125254,0,7.302374,5.581714,6.32269,0,0
2025-11-25 12:52:32.973,1,5.801289,1.326944,6.459795,7.327167,5.668507,6.586245,0,0
2025-11-25 12:52:33.024,1,5.729552,1.397544,6.528057,7.368433,5.751353,6.73362,0,0
2025-11-25 12:52:33.077,1,5.692701,1.482772,6.581888,7.386364,5.745141,6.794987,0,0
2025-11-25 12:52:33.135,1,5.692306,1.507805,6.631956,7.406572,5.776,6.801579,0,0
2025-11-25 12:52:33.212,1,5.651297,1.549425,6.641519,7.368019,5.775325,6.856413,0,0
2025-11-25 12:52:33.265,1,5.603181,1.614602,6.6523,7.33596,5.765858,6.890288,0,0
2025-11-25 12:52:33.324,1,5.590403,1.611663,6.64867,7.331368,5.775012,6.904722,0,0
2025-11-25 12:52:33.373,1,5.593555,1.604693,6.621699,7.309255,5.757374,6.869057,0,0
2025-11-25 12:52:33.424,1,5.605459,1.602577,6.619601,7.30477,5.740973,6.839389,0,0
2025-11-25 12:52:33.485,1,5.581059,1.60947,6.596163,7.262166,5.728343,6.848166,0,0
2025-11-25 12:52:33.532,1,5.567846,1.648646,6.597623,7.251058,5.687236,6.854163,0,0
2025-11-25 12:52:33.580,1,5.574147,1.651026,6.578082,7.235243,5.661567,6.814406,0,0
2025-11-25 12:52:33.624,1,5.613873,1.606207,6.575763,7.256481,5.68228,6.77232,0,0
2025-11-25 12:52:33.674,1,5.646793,1.59655,6.576306,7.261587,5.650542,6.728471,0,0
2025-11-25 12:52:33.733,1,5.686629,1.575374,6.584274,7.262804,5.650476,6.66326,0,0
2025-11-25 12:52:33.788,1,5.721637,1.579323,6.584849,7.270165,5.607483,6.622762,0,0
2025-11-25 12:52:33.835,1,5.725597,1.502257,6.568746,7.252845,5.697569,6.607107,0,0
2025-11-25 12:52:33.896,1,5.719084,1.42262,6.540008,7.242321,5.751637,6.597697,0,0
2025-11-25 12:52:33.954,1,5.713746,1.440211,6.558399,7.26342,5.747853,6.633273,0,0
2025-11-25 12:52:34.008,1,5.72996,1.340945,6.52577,7.245719,5.805961,6.582534,0,0
2025-11-25 12:52:35.000,1,5.755617,1.388074,6.463832,7.239031,5.654377,6.53199,0,0
2025-11-25 12:52:35.048,1,5.822384,1.181036,6.40762,7.309851,5.78845,6.49672,0,0
2025-11-25 12:52:35.048,1,5.880151,0.99328,6.364244,7.355052,5.884506,6.452028,0,0
2025-11-25 12:52:35.101,1,5.934062,0.909845,6.375664,7.390384,5.93659,6.406246,0,0
2025-11-25 12:52:35.155,1,5.9321,0.870043,6.362824,7.39957,5.963664,6.428587,0,0
2025-11-25 12:52:35.213,1,5.925055,0.915836,6.384082,7.407121,5.932489,6.450318,0,0
