timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 13:52:32.167,1,2.127253,3.734557,0.002119,4.6886,3.421491,0,9.080612,9.191197,4.924539
2025-11-25 13:52:32.685,1,2.138012,3.736701,1,4.672731,3.419157,0,9.055309,9.189119,4.887662
2025-11-25 13:52:32.749,1,2.165502,3.741314,0.285658,4.604667,3.418447,0,9.036576,9.163429,4.868778
2025-11-25 13:52:32.749,1,2.16358,3.740307,0.325331,4.558733,3.411225,0,9.022094,9.173635,4.884124
2025-11-25 13:52:32.749,1,2.165731,3.737818,0.465061,4.525994,3.409031,0,9.014912,9.145407,4.867529
2025-11-25 13:52:32.796,1,2.154903,3.743187,0.792881,4.462472,3.403893,0,9.009529,9.155078,4.892121
2025-11-25 13:52:32.841,1,2.147483,3.740272,0.88021,4.434599,3.406421,0,8.992649,9.175934,4.88796
2025-11-25 13:52:32.888,1,2.147035,3.74496,0.993922,4.4172,3.407028,0,8.976871,9.166826,4.903843
2025-11-25 13:52:32.938,1,2.039956,3.63899,0.581629,4.379012,3.408218,0,9.29519,9.173491,4.8718
2025-11-25 13:52:32.985,1,1.956715,3.563166,0.369861,4.330955,3.413996,0,9.470507,9.134844,4.873306
2025-11-25 13:52:33.032,1,1.938445,3.546628,0.591669,4.272747,3.425332,0,9.463302,9.113214,4.886417
2025-11-25 13:52:33.074,1,1.954191,3.582263,1.092363,4.229784,3.421055,0,9.384195,9.102699,4.917416
2025-11-25 13:52:33.124,1,1.969671,3.600604,1.203874,4.239505,3.41258,0,9.335103,9.082852,4.919069
2025-11-25 13:52:33.173,1,1.988365,3.617858,1.289145,4.257391,3.411119,0,9.28333,9.046848,4.914453
2025-11-25 13:52:33.220,1,2.024062,3.649813,1.474872,4.257307,3.40274,0,9.227907,9.065043,4.926359
2025-11-25 13:52:33.264,1,2.041286,3.69195,1.83955,4.234475,3.409284,0,9.197919,9.080129,4.965625
2025-11-25 13:52:33.313,1,2.047634,3.704668,2.107966,4.179955,3.409224,0,9.175808,9.079986,4.969177
2025-11-25 13:52:33.370,1,2.049275,3.7213,2.296968,4.174117,3.405288,0,9.159623,9.077721,4.989543
2025-11-25 13:52:33.424,1,2.069417,3.739762,2.108975,4.274294,3.411531,0,9.139318,9.083014,4.980625
2025-11-25 13:52:33.473,1,2.098214,3.75489,1.792531,4.36846,3.421643,0,9.106141,9.066071,4.973809
2025-11-25 13:52:33.518,1,2.122428,3.777612,1.607071,4.411138,3.42145,0,9.083921,9.057151,4.989586
2025-11-25 13:52:33.566,1,2.128706,3.786007,1.667624,4.414813,3.425717,0,9.077783,9.052541,4.986771
2025-11-25 13:52:33.566,1,2.13722,3.794311,1.700635,4.423501,3.427623,0,9.069227,9.038259,4.997122
2025-11-25 13:52:33.614,1,2.146928,3.801603,1.795904,4.411845,3.438342,0,9.048835,9.021044,4.995597
2025-11-25 13:52:33.673,1,2.155058,3.820753,1.933352,4.412607,3.433905,0,9.040257,9.039032,5.020678
2025-11-25 13:52:33.734,1,2.160056,3.836314,2.078512,4.39821,3.439037,0,9.034575,9.0451,5.026834
2025-11-25 13:52:33.784,1,2.162029,3.842044,2.15151,4.396164,3.438362,0,9.031811,9.046016,5.042176
2025-11-25 13:52:33.848,1,2.159898,3.838396,2.173998,4.379147,3.439322,0,9.046257,9.037038,5.028457
2025-11-25 13:52:33.909,1,2.158304,3.834508,2.224629,4.366149,3.449468,0,9.043505,9.039184,5.029351
2025-11-25 13:52:33.909,1,2.156534,3.838837,2.312467,4.361833,3.449067,0,9.036534,9.048541,5.048104
2025-11-25 13:52:33.953,1,2.152616,3.838071,2.380125,4.347107,3.449173,0,9.033001,9.054332,5.047282
2025-11-25 13:52:34.006,1,2.150207,3.837562,2.419769,4.354396,3.451766,0,9.042488,9.032541,5.05001
2025-11-25 13:52:34.053,1,2.154368,3.852507,1,4.334186,3.440215,0,9.023841,9.02712,5.060287
2025-11-25 13:52:34.100,1,2.154124,3.862172,1,4.308558,3.441027,0,9.030698,9.008631,5.068598
2025-11-25 13:52:34.146,1,2.157525,3.86219,1,4.31556,3.444626,0,9.020366,9.006949,5.062027
2025-11-25 13:52:34.201,1,2.1552,3.882384,1,4.317284,3.439914,0,9.013741,9.029315,5.093621
2025-11-25 13:52:34.739,1,2.171578,3.898292,2.475168,4.301562,3.43662,0,9.001125,9.027759,5.090875
2025-11-25 13:52:34.790,1,2.1744,3.90009,2.492582,4.247406,3.441035,0,8.97637,9.032269,5.090525
2025-11-25 13:52:34.790,1,2.168908,3.89042,2.498557,4.213024,3.437383,0,8.992885,9.025798,5.083842
2025-11-25 13:52:34.790,1,2.169522,3.894586,1,4.182931,3.446098,0,8.982998,9.015561,5.090623
2025-11-25 13:52:34.846,1,2.169442,3.890721,1,4.173974,3.443,0,8.961569,9.019457,5.083002
