Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,26720,3,1.1729,1.3393,-64.16,1
1,26726,4,10.2843,10.1077,-81.59,1
1,26732,5,11.2086,10.9428,-88.01,1
1,26817,1,12.0907,11.9736,-84.92,1
1,26823,2,3.2232,3.4734,-70.92,1
1,26830,3,1.2668,1.3233,-64.64,1
1,26836,4,10.4908,10.1923,-81.99,1
1,26842,5,11.2227,11.0046,-88.33,1
1,26912,1,11.9030,11.9580,-87.27,1
1,26918,2,3.0778,3.3861,-67.77,1
1,26924,3,1.3841,1.3367,-66.84,1
1,26930,4,10.5893,10.2799,-84.76,1
1,27618,1,11.3588,11.8258,-86.93,1
1,27625,2,2.2567,3.1369,-66.24,1
1,27631,3,2.2004,1.5273,-81.59,1
1,27637,4,11.0397,10.4476,-84.51,1
1,27643,5,11.0350,11.0113,-84.68,1
1,27714,1,11.1664,11.6802,-86.06,1
1,27720,2,2.1535,2.9199,-66.55,1
1,27727,3,2.2708,1.6914,-81.44,1
1,27733,4,11.1242,10.5969,-84.05,1
1,27739,5,11.2462,11.0631,-84.45,1
1,27808,1,11.1523,11.5637,-87.27,1
1,27814,2,2.0738,2.7331,-64.92,1
1,27820,3,2.4491,1.8586,-79.86,1
1,27827,4,11.1336,10.7153,-84.28,1
1,27833,5,10.7911,11.0031,-84.62,1
1,27918,1,11.0444,11.4491,-88.82,1
1,27924,2,2.0081,2.5731,-64.90,1
1,27930,3,2.4679,1.9931,-80.05,1
1,27937,4,11.1476,10.8107,-85.61,1
1,27943,5,10.9600,10.9936,-87.47,1
1,28602,2,1.4310,2.3210,-64.07,1
1,28609,3,3.1013,2.2377,-80.42,1
1,28615,4,11.5605,10.9762,-83.97,1
1,28621,5,11.4854,11.1021,-85.52,1
1,29298,2,1.1166,2.0552,-64.38,1
1,29305,3,3.4907,2.5142,-80.20,1
1,29311,4,11.6919,11.1342,-86.93,1
1,29317,5,11.8936,11.2768,-85.27,1
1,29998,2,1.7406,1.9858,-75.61,1
1,30005,3,4.1757,2.8809,-77.24,1
1,30011,4,11.3869,11.1899,-88.03,1
1,30017,5,10.6128,11.1302,-84.67,1
1,30108,1,9.8058,11.0864,-88.66,1
