timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 14:26:14.497,1,1.923048,3.433575,0.019324,4.165405,3.32974,3.976451,9.041155,9.179857,5.024557
2025-11-25 14:26:14.533,1,1.92045,3.425604,0.264692,4.164487,3.334908,3.981322,9.043983,9.182455,5.038387
2025-11-25 14:26:14.585,1,1.920219,3.417727,0.015872,4.163351,3.330784,3.989714,9.052035,9.177228,5.016044
2025-11-25 14:26:14.631,1,1.916635,3.416106,0.26093,4.16024,3.329893,3.989498,9.050134,9.180173,5.015036
2025-11-25 14:26:14.707,1,1.919012,3.41995,0.013379,4.167791,3.321176,3.977869,9.042981,9.180347,5.008318
2025-11-25 14:26:14.755,1,1.923607,3.418893,0.260971,4.167079,3.321987,3.972435,9.047271,9.17654,4.987872
2025-11-25 14:26:14.802,1,1.93414,3.438301,0.030974,4.160784,3.326393,3.845202,9.056788,9.171578,4.985137
2025-11-25 14:26:14.865,1,1.934368,3.444216,1,4.154997,3.32642,3.901491,9.058777,9.176499,4.992231
2025-11-25 14:26:14.914,1,1.926101,3.430223,0.079499,4.155745,3.323908,3.942495,9.061934,9.166591,5.00563
2025-11-25 14:26:14.965,1,1.915516,3.419205,1,4.150672,3.321225,4.003103,9.068678,9.161623,5.014453
2025-11-25 14:26:15.025,1,1.907564,3.400269,0.054093,4.153347,3.323388,4.024122,9.060242,9.173224,4.994139
2025-11-25 14:26:15.074,1,1.904074,3.399999,1,4.157971,3.314348,4.035824,9.068351,9.177985,5.002633
2025-11-25 14:26:15.129,1,1.903288,3.407201,0.058743,4.154445,3.318297,3.999291,9.070062,9.188338,4.994209
2025-11-25 14:26:15.185,1,1.902212,3.399105,1,4.155867,3.320803,4.008682,9.085854,9.198311,4.945925
2025-11-25 14:26:15.242,1,1.905488,3.400788,0.058839,4.166628,3.321989,3.994833,9.104642,9.199539,4.959877
2025-11-25 14:26:15.293,1,1.905499,3.401489,1,4.178127,3.327658,3.99562,9.142867,9.193709,4.957417
