Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,24666,3,2.5664,2.6245,-80.15,1
1,24672,4,8.5437,8.3907,-86.22,1
1,24678,5,9.7964,10.1915,-86.77,1
1,24731,1,11.0350,11.2333,-87.55,1
1,24737,2,4.6026,4.6880,-76.47,1
1,24743,3,2.5992,2.6189,-73.00,1
1,24749,4,8.9472,8.5135,-85.69,1
1,25376,1,11.0538,11.1937,-86.01,1
1,25382,2,4.3258,4.6081,-80.34,1
1,25389,3,2.4866,2.5897,-73.48,1
1,25395,4,8.8721,8.5927,-89.15,1
1,25401,5,9.8339,10.1126,-85.35,1
1,25453,1,11.0866,11.1701,-85.33,1
1,25459,2,4.3258,4.5458,-80.30,1
1,25465,3,2.5007,2.5701,-73.00,1
1,25472,4,8.8064,8.6398,-91.13,1
1,25478,5,9.8855,10.0625,-85.90,1
1,25529,1,11.0444,11.1423,-85.17,1
1,25535,2,4.3399,4.5004,-81.44,1
1,25541,3,2.4679,2.5475,-73.77,1
1,25548,4,8.7924,8.6735,-91.83,1
1,25554,5,9.9325,10.0338,-86.28,1
1,25606,1,11.0726,11.1269,-85.33,1
1,25612,2,4.1991,4.4339,-79.68,1
1,25619,3,2.4210,2.5196,-76.00,1
1,25625,4,8.7689,8.6946,-91.21,1
1,25631,5,9.8152,9.9855,-86.68,1
1,25694,1,11.0819,11.1170,-84.02,1
1,25700,2,4.2085,4.3841,-80.07,1
1,25707,3,2.4350,2.5009,-73.73,1
1,25714,4,8.9472,8.7503,-89.37,1
1,25720,5,9.7917,9.9428,-87.31,1
1,25772,1,11.0819,11.1093,-84.69,1
1,25778,2,4.1757,4.3381,-79.90,1
1,25784,3,2.3787,2.4740,-80.38,1
1,25791,4,8.9660,8.7979,-89.23,1
1,25797,5,9.8292,9.9177,-89.20,1
1,25848,1,11.0819,11.1032,-83.40,1
1,25854,2,4.2554,4.3199,-79.44,1
1,25860,3,2.3881,2.4550,-79.48,1
1,25867,4,9.0129,8.8453,-88.58,1
1,25873,5,9.8246,9.8972,-86.60,1
1,25926,1,11.0773,11.0975,-83.99,1
1,25932,2,4.1428,4.2808,-75.67,1
1,25939,3,2.3881,2.4402,-72.68,1
1,25945,4,9.0551,8.8916,-90.20,1
1,25951,5,10.2750,9.9805,-85.81,1
1,26014,1,11.1101,11.1003,-83.55,1
1,26020,2,4.1147,4.2441,-80.10,1
1,26027,3,2.4116,2.4339,-72.15,1
1,26033,4,9.1442,8.9474,-90.54,1
1,26039,5,10.0545,9.9968,-84.37,1
1,26091,1,11.1617,11.1138,-84.61,1
1,26097,2,4.0021,4.1907,-79.86,1
1,26104,3,2.3365,2.4124,-73.35,1
1,26110,4,9.2475,9.0136,-88.12,1
1,26116,5,9.8246,9.9588,-83.87,1
1,26167,1,11.1007,11.1109,-84.77,1
1,26173,2,4.0396,4.1574,-79.73,1
1,26180,3,2.3083,2.3894,-75.05,1
1,26186,4,9.2287,9.0611,-85.60,1
1,26192,5,9.8855,9.9427,-83.67,1
1,26245,1,11.0866,11.1056,-85.17,1
1,26251,2,3.9505,4.1117,-79.69,1
1,26257,3,2.2708,2.3633,-75.69,1
1,26264,4,9.2897,9.1115,-83.59,1
1,26270,5,9.8527,9.9228,-83.24,1
1,26333,1,11.0632,11.0962,-85.73,1
1,26339,2,3.9270,4.0709,-80.60,1
1,26346,3,2.1629,2.3190,-71.68,1
1,26352,4,9.3178,9.1571,-82.84,1
1,26358,5,9.8762,9.9125,-83.92,1
