timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-20 13:08:14.492,1,3.685529,5.481704,0,3.932108,1.314844,2.38444,4.314696,5.087288
2025-11-20 13:08:14.547,1,3.697317,5.487717,0,3.932175,1.32269,2.372298,4.314567,5.09183
2025-11-20 13:08:14.607,1,3.693455,5.495731,0,3.934059,1.318929,2.368488,4.308505,5.051029
2025-11-20 13:08:14.666,1,3.691042,5.502229,0,3.937852,1.32977,2.363174,4.308386,5.042281
2025-11-20 13:08:14.715,1,3.686633,5.502153,0,3.936821,1.32265,2.36721,4.305208,5.022551
2025-11-20 13:08:14.779,1,3.687128,5.496217,0,3.935495,1.326624,2.362184,4.299486,5.036833
2025-11-20 13:08:14.840,1,3.684663,5.487417,0,3.933547,1.327652,2.368558,4.297839,4.989536
2025-11-20 13:08:14.897,1,3.685725,5.484267,0,3.934085,1.33254,2.368865,4.302716,5.019646
2025-11-20 13:08:14.959,1,3.685271,5.479233,0,3.937868,1.337122,2.382756,4.304871,5.00382
2025-11-20 13:08:15.023,1,3.691325,5.490467,4.937724,3.936252,1.341061,2.361485,4.297789,5.084443
2025-11-20 13:08:15.081,1,3.693281,5.493956,4.974369,3.901437,1.304186,2.393184,4.289103,5.02819
2025-11-20 13:08:15.156,1,3.744871,5.468655,4.985113,4.240585,1.264174,2.522,4.284164,4.957564
2025-11-20 13:08:15.228,1,3.79831,5.400621,4.994394,4.384401,1.248036,2.597825,4.27783,4.905475
2025-11-20 13:08:15.295,1,3.699051,5.405329,4.996468,4.212473,1.215334,2.642676,4.267998,4.860137
2025-11-20 13:08:15.360,1,3.657837,5.360007,4.997834,4.114727,1.133868,2.685731,4.26352,4.893494
2025-11-20 13:08:15.431,1,3.624484,5.375539,4.997279,4.013605,1.103944,2.692877,4.276239,4.92275
2025-11-20 13:08:15.495,1,3.612067,5.380228,5.011223,3.973037,1.163465,2.704008,4.276473,4.939482
2025-11-20 13:08:15.568,1,3.597842,5.392152,5.005424,3.930675,1.140008,2.716874,4.273858,4.965861
2025-11-20 13:08:15.644,1,3.61943,5.461219,5.017784,3.894215,1.180911,2.679085,4.275484,5.023235
2025-11-20 13:08:15.710,1,3.631844,5.493518,5.028975,3.904671,1.201961,2.646694,4.282577,5.047482
2025-11-20 13:08:15.777,1,3.666602,5.525151,5.042792,3.912528,1.2212,2.592261,4.28999,5.169559
2025-11-20 13:08:15.850,1,3.660956,5.503982,5.050497,3.920741,1.243817,2.551133,4.285752,5.072441
2025-11-20 13:08:15.910,1,3.702275,5.423625,5.045964,3.879241,1.291066,2.522349,4.241839,4.996986
2025-11-20 13:08:16.097,1,3.704161,5.393965,5.02191,3.896962,1.307778,2.491865,4.199031,4.961987
