Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,7413,1,11.1382,6.8759,-85.16,1
1,7419,2,4.6683,3.6335,-81.35,1
1,7426,3,2.7400,2.0503,-68.84,1
1,7432,4,8.8158,6.6393,-86.95,1
1,7438,5,9.6181,2.7159,-91.23,1
1,7509,1,11.1289,7.7648,-85.41,1
1,7515,2,4.6683,3.8573,-81.62,1
1,7522,3,2.7259,2.1964,-70.60,1
1,7528,4,8.7877,7.1041,-86.35,1
1,8218,1,11.1336,8.4842,-85.08,1
1,8225,2,4.8137,4.0659,-81.60,1
1,8232,3,2.6931,2.3047,-73.01,1
1,8241,4,8.8205,7.4783,-86.09,1
1,8911,1,11.1101,9.0522,-83.72,1
1,8917,2,4.7715,4.2205,-81.09,1
1,8924,3,2.6837,2.3877,-72.52,1
1,8930,4,8.8017,7.7682,-88.49,1
1,9619,1,11.0210,9.4815,-86.27,1
1,9626,2,4.7715,4.3415,-80.34,1
1,9632,3,2.6227,2.4394,-73.93,1
1,9638,4,8.9237,8.0221,-84.32,1
1,9644,5,9.5102,3.8872,-85.89,1
1,9715,1,11.0163,9.8177,-86.27,1
1,9721,2,4.6495,4.4093,-81.76,1
1,9727,3,2.6133,2.4776,-72.92,1
1,9734,4,8.9894,8.2350,-83.99,1
1,9740,5,9.5008,4.9550,-85.51,1
1,9809,1,11.0866,10.0965,-85.02,1
1,9815,2,4.6589,4.4643,-81.14,1
1,9822,3,2.6321,2.5117,-74.83,1
1,9828,4,8.9707,8.3971,-85.27,1
1,9834,5,9.5196,5.8759,-85.21,1
1,9924,1,11.1101,10.3196,-83.87,1
1,9931,2,4.6730,4.5103,-80.96,1
1,9937,3,2.5805,2.5268,-72.00,1
1,9943,4,8.9425,8.5173,-86.12,1
1,9950,5,9.5571,6.6453,-85.00,1
1,10019,1,11.1945,10.5124,-84.32,1
1,10026,2,4.5979,4.5296,-81.39,1
1,10032,3,2.6133,2.5459,-72.76,1
1,10038,4,8.9707,8.6173,-85.93,1
1,10044,5,9.5712,7.2701,-84.92,1
1,10114,1,11.1617,10.6555,-84.92,1
1,10120,2,4.5839,4.5416,-81.36,1
1,10127,3,2.5852,2.5546,-72.30,1
1,10133,4,9.0457,8.7118,-85.65,1
1,10139,5,9.5759,7.7689,-84.69,1
1,10209,1,11.1289,10.7599,-85.19,1
1,10215,2,4.5792,4.5499,-81.59,1
1,10222,3,2.5992,2.5644,-72.00,1
1,10228,4,9.0410,8.7845,-86.04,1
1,10234,5,9.5947,8.1669,-84.59,1
1,10305,1,11.1429,10.8444,-84.76,1
1,10311,2,4.5745,4.5553,-81.15,1
1,10317,3,2.6086,2.5742,-71.92,1
1,10323,4,9.0973,8.8535,-85.77,1
1,10330,5,9.5853,8.4777,-84.84,1
1,10409,1,11.1758,10.9175,-84.84,1
1,10415,2,4.5745,4.5595,-81.61,1
1,10421,3,2.6133,2.5828,-71.94,1
1,10427,4,9.0504,8.8970,-85.48,1
1,10434,5,9.6134,8.7272,-84.84,1
1,10513,1,11.1382,10.9662,-87.09,1
1,10519,2,4.5651,4.5608,-78.62,1
1,10526,3,2.6180,2.5906,-71.67,1
1,10532,4,9.0973,8.9412,-85.09,1
1,10538,5,9.6040,8.9202,-84.84,1
1,10617,1,11.1336,11.0032,-84.59,1
1,10623,2,4.6026,4.5700,-77.71,1
1,10629,3,2.5805,2.5883,-69.53,1
1,10636,4,9.1114,8.9787,-84.77,1
1,10642,5,9.5524,9.0595,-84.68,1
1,10721,1,11.0960,11.0237,-84.76,1
1,10727,2,4.6214,4.5813,-77.13,1
1,10733,3,2.6180,2.5949,-72.28,1
1,10740,4,9.0598,8.9966,-84.84,1
