Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,21373,1,11.0679,11.0557,-82.24,1
1,21380,2,4.5557,4.5715,-83.26,1
1,21386,3,2.6321,2.5667,-81.02,1
1,21392,4,8.6328,8.7228,-88.20,1
1,21398,5,9.6557,9.6534,-86.60,1
1,21439,1,11.0679,11.0584,-83.40,1
1,21445,2,4.5885,4.5752,-83.31,1
1,21451,3,2.6180,2.5780,-80.96,1
1,21457,4,8.6798,8.7133,-86.77,1
1,21463,5,9.6697,9.6570,-86.30,1
1,21503,1,11.0397,11.0542,-82.31,1
1,21509,2,4.6448,4.5906,-83.47,1
1,21515,3,2.6368,2.5910,-81.17,1
1,21521,4,8.6563,8.7007,-86.44,1
1,21528,5,9.6416,9.6536,-88.28,1
1,21616,1,11.0210,11.0469,-82.97,1
1,21622,2,4.6589,4.6057,-82.16,1
1,21628,3,2.5805,2.5887,-82.47,1
1,21634,4,8.6375,8.6868,-86.78,1
1,21641,5,9.6040,9.6427,-88.41,1
1,21681,1,11.0397,11.0453,-82.28,1
1,21687,2,4.6777,4.6216,-82.25,1
1,21693,3,2.7447,2.6231,-81.35,1
1,21700,4,8.6657,8.6821,-85.77,1
1,21706,5,10.1154,9.7470,-89.50,1
1,21793,1,10.9834,11.0317,-82.40,1
1,21800,2,4.7011,4.6391,-81.40,1
1,21806,3,2.6837,2.6365,-82.62,1
1,21812,4,8.6469,8.6744,-84.68,1
1,21818,5,9.5618,9.7061,-86.95,1
1,21859,1,10.9928,11.0231,-81.83,1
1,21865,2,4.7152,4.6559,-81.76,1
1,21871,3,2.7634,2.6645,-81.83,1
1,21877,4,8.6047,8.6590,-85.08,1
1,21884,5,9.5853,9.6795,-86.77,1
1,21923,1,10.9600,11.0091,-81.83,1
1,21930,2,4.6777,4.6607,-81.91,1
1,21936,3,2.7728,2.6884,-83.55,1
1,21942,4,8.6094,8.6480,-85.85,1
1,21948,5,9.5853,9.6587,-88.20,1
1,22036,1,10.9600,10.9983,-82.28,1
1,22042,2,4.6824,4.6655,-82.32,1
1,22048,3,2.8151,2.7164,-83.40,1
1,22058,4,8.5812,8.6333,-85.09,1
1,22065,5,9.5102,9.6259,-87.31,1
1,22153,1,10.8802,10.9722,-84.05,1
1,22159,2,4.6542,4.6630,-80.98,1
1,22165,3,2.9980,2.7785,-77.39,1
1,22171,4,8.4405,8.5907,-87.69,1
1,22177,5,9.3648,9.5683,-86.81,1
1,22218,1,10.8474,10.9447,-86.22,1
1,22224,2,4.6683,4.6642,-81.83,1
1,22231,3,3.0309,2.8342,-81.00,1
1,22237,4,8.3185,8.5307,-87.47,1
1,22243,5,9.3648,9.5234,-85.19,1
1,22282,1,10.9740,10.9512,-84.38,1
1,22289,2,4.7809,4.6899,-75.18,1
1,22295,3,2.9417,2.8579,-78.68,1
1,22301,4,8.3373,8.4880,-84.42,1
1,22307,5,9.4023,9.4966,-83.67,1
1,22395,1,10.8192,10.9220,-87.60,1
1,22401,2,4.8325,4.7214,-75.25,1
1,22407,3,2.9605,2.8806,-80.52,1
1,22413,4,8.3138,8.4495,-82.92,1
1,22420,5,9.1724,9.4251,-85.21,1
1,22460,1,11.2931,11.0039,-87.45,1
1,22466,2,4.6777,4.7118,-76.86,1
1,22472,3,3.0027,2.9075,-80.66,1
1,22478,4,8.3091,8.4185,-82.78,1
1,22485,5,9.2803,9.3931,-82.33,1
1,22524,1,10.5330,10.9000,-88.57,1
1,22530,2,4.7668,4.7239,-73.25,1
1,22536,3,2.9980,2.9275,-81.15,1
1,22543,4,8.3091,8.3944,-81.99,1
1,22549,5,9.1677,9.3434,-82.72,1
1,22625,1,10.8286,10.8842,-88.44,1
1,22631,2,4.7574,4.7313,-72.03,1
1,22637,3,3.0872,2.9627,-79.87,1
1,22643,4,8.2857,8.3704,-82.96,1
1,22649,5,9.1302,9.2963,-81.52,1
1,22690,1,10.7113,10.8461,-85.53,1
1,22696,2,4.7387,4.7329,-72.42,1
1,22702,3,3.0590,2.9840,-80.84,1
1,22709,4,8.2200,8.3372,-83.26,1
1,22715,5,9.1396,9.2617,-81.67,1
1,22755,1,10.6456,10.8018,-85.35,1
1,22761,2,4.7105,4.7280,-75.51,1
1,22767,3,3.2092,3.0337,-80.00,1
1,22774,4,8.2153,8.3103,-83.75,1
1,22780,5,9.0833,9.2223,-81.33,1
1,22820,1,10.6878,10.7767,-83.72,1
1,22826,2,4.7293,4.7283,-76.26,1
1,22832,3,3.0403,3.0351,-81.67,1
